q4,q4h,q6,q6h,label
0.042244,0.035325,0.457432,0.415897, bcc
0.130062,0.034862,0.418208,0.406532, bcc
0.081764,0.039228,0.468115,0.425776, bcc
0.097602,0.079427,0.464009,0.425925, hcp
0.068059,0.025767,0.3956,0.446737, bcc
0.10497,0.047117,0.463078,0.398122, bcc
0.074604,0.029941,0.452216,0.368035, bcc
0.080362,0.025458,0.443307,0.394026, bcc
0.102079,0.062491,0.41678,0.382415, bcc
0.093365,0.084962,0.420544,0.426591, hcp
0.098721,0.097095,0.427018,0.41551, hcp
0.126208,0.088059,0.482313,0.433717, hcp
0.120491,0.045831,0.391448,0.416781, bcc
0.07136,0.093409,0.429253,0.407576, hcp
0.148561,0.077039,0.446556,0.449259, hcp
0.105197,0.076866,0.443274,0.417526, hcp
0.088662,0.066478,0.469167,0.392488, hcp
0.055389,0.01038,0.395456,0.392132, bcc
0.117463,0.044547,0.415753,0.371025, bcc
0.043563,0.040532,0.441106,0.387462, bcc
0.130115,0.085776,0.423202,0.42684, hcp
0.059368,0.026711,0.380167,0.437407, bcc
0.083384,0.02747,0.439421,0.415386, bcc
0.125044,0.025023,0.517692,0.42667, bcc
0.103219,0.03561,0.466341,0.435636, bcc
0.078449,0.025629,0.447045,0.413613, bcc
0.037056,0.031463,0.442956,0.429926, bcc
0.080697,0.020081,0.493171,0.43532, bcc
0.100812,0.080294,0.451709,0.388996, hcp
0.095229,0.026307,0.45677,0.406307, bcc
0.10462,0.049233,0.511823,0.410774, bcc
0.093611,0.046502,0.508418,0.415476, bcc
0.0711,0.028473,0.418345,0.419623, bcc
0.095855,0.08516,0.459794,0.421608, hcp
0.068093,0.029729,0.414352,0.44593, bcc
0.044899,0.031414,0.414258,0.40056, bcc
0.134229,0.097116,0.446198,0.424996, hcp
0.104445,0.036181,0.492397,0.415951, bcc
0.107241,0.07879,0.503373,0.43727, hcp
0.077165,0.039964,0.466296,0.39057, bcc
0.127409,0.089798,0.471009,0.417792, hcp
0.100998,0.076278,0.51205,0.426339, hcp
0.095531,0.004194,0.457815,0.414439, bcc
0.100241,0.028834,0.459229,0.401478, bcc
0.076567,0.076461,0.454652,0.412116, hcp
0.1267,0.033263,0.477925,0.432899, bcc
0.116997,0.081523,0.437471,0.4235, hcp
0.110597,0.102135,0.438592,0.408448, hcp
0.062471,0.045052,0.380599,0.407685, bcc
0.123817,0.084167,0.461361,0.438539, hcp
0.084369,0.031055,0.405114,0.386463, bcc
0.093676,0.032976,0.46422,0.398774, bcc
0.041054,0.026384,0.442296,0.44338, bcc
0.103655,0.07968,0.408265,0.428648, hcp
0.121337,0.080162,0.430008,0.421066, hcp
0.135284,0.095243,0.439815,0.434574, hcp
0.116247,0.086742,0.442945,0.440904, hcp
0.124361,0.051493,0.434076,0.427937, bcc
0.167794,0.088856,0.416556,0.412244, hcp
0.064446,0.095255,0.423342,0.42403, hcp
0.078346,0.091288,0.482932,0.408738, hcp
0.093774,0.040158,0.478819,0.42504, bcc
0.107717,0.094606,0.482062,0.425468, hcp
0.094258,0.040348,0.402008,0.41072, bcc
0.132991,0.091801,0.368703,0.383309, hcp
0.068048,0.031323,0.436631,0.418912, bcc
0.100389,0.087268,0.440606,0.43766, hcp
0.051222,0.014974,0.483897,0.380438, bcc
0.129706,0.09427,0.385313,0.407839, hcp
0.062004,0.043834,0.421983,0.426584, bcc
0.101192,0.083556,0.464078,0.424665, hcp
0.104083,0.018038,0.471684,0.414646, bcc
0.105361,0.092064,0.438632,0.442629, hcp
0.103248,0.045638,0.477078,0.392788, bcc
0.11328,0.089675,0.424027,0.418972, hcp
0.112139,0.079438,0.448019,0.415541, hcp
0.089224,0.074335,0.432479,0.392023, hcp
0.103822,0.045553,0.50637,0.423084, bcc
0.143878,0.080764,0.399634,0.395116, hcp
0.062496,0.029806,0.37394,0.452731, bcc
0.087995,0.032101,0.432934,0.422718, bcc
0.104809,0.074183,0.416708,0.420904, hcp
0.097062,0.020938,0.454041,0.425201, bcc
0.08057,0.08473,0.429829,0.424561, hcp
0.09184,0.098665,0.422928,0.435538, hcp
0.118137,0.09038,0.406892,0.431854, hcp
0.087522,0.038906,0.451391,0.452898, bcc
0.021622,0.027153,0.439735,0.423892, bcc
0.093938,0.091191,0.416584,0.425108, hcp
0.0505,0.041472,0.41639,0.399493, bcc
0.073286,0.078425,0.480615,0.419657, hcp
0.137018,0.040625,0.488718,0.339828, bcc
0.060755,0.029048,0.450489,0.405225, bcc
0.101994,0.035516,0.426498,0.419135, bcc
0.113555,0.098543,0.473083,0.440734, hcp
0.14791,0.068563,0.452878,0.422671, hcp
0.112384,0.084468,0.440117,0.443499, hcp
0.120874,0.109763,0.443121,0.431753, hcp
0.133371,0.03503,0.526665,0.388286, bcc
0.099889,0.019119,0.408651,0.384682, bcc
0.094038,0.039545,0.447125,0.37995, bcc
0.051074,0.091486,0.422239,0.400616, hcp
0.11134,0.074249,0.481958,0.408565, hcp
0.129263,0.085339,0.467132,0.42385, hcp
0.116737,0.091931,0.454873,0.409506, hcp
0.111393,0.084902,0.518736,0.419816, hcp
0.067941,0.040375,0.427612,0.399404, bcc
0.085611,0.093175,0.463696,0.431789, hcp
0.073826,0.095586,0.433591,0.443302, hcp
0.112541,0.055542,0.411328,0.387808, bcc
0.113178,0.082125,0.447369,0.422852, hcp
0.095984,0.030751,0.478502,0.385129, bcc
0.099002,0.0363,0.397827,0.410234, bcc
0.068627,0.026245,0.465321,0.387905, bcc
0.14106,0.092401,0.42614,0.421125, hcp
0.089724,0.077554,0.393878,0.421585, hcp
0.104096,0.026456,0.480512,0.42281, bcc
0.133096,0.081352,0.461692,0.446904, hcp
0.080266,0.037393,0.4254,0.340994, bcc
0.117275,0.09989,0.43566,0.425924, hcp
0.110728,0.041461,0.444641,0.3929, bcc
0.111248,0.085086,0.418802,0.430757, hcp
0.083366,0.032372,0.39608,0.433193, bcc
0.058539,0.022792,0.500392,0.409577, bcc
0.129402,0.104327,0.488042,0.446264, hcp
0.126309,0.081547,0.477418,0.430281, hcp
0.10884,0.033472,0.51864,0.422088, bcc
0.111335,0.094335,0.431358,0.418935, hcp
0.124738,0.039669,0.442749,0.404098, bcc
0.112385,0.081495,0.486882,0.404712, hcp
0.108955,0.086923,0.486349,0.43234, hcp
0.161198,0.034435,0.437726,0.375336, bcc
0.081952,0.081169,0.448538,0.418778, hcp
0.111908,0.079017,0.476435,0.420202, hcp
0.101596,0.049998,0.420191,0.413471, bcc
0.127204,0.086229,0.457783,0.410857, hcp
0.062819,0.054523,0.444563,0.407384, bcc
0.068789,0.027066,0.514344,0.405141, bcc
0.099517,0.07948,0.451752,0.412436, hcp
0.106229,0.092509,0.399651,0.418347, hcp
0.091401,0.07295,0.396858,0.422565, hcp
0.098013,0.074106,0.463939,0.436059, hcp
0.120804,0.086607,0.438951,0.408078, hcp
0.113165,0.08684,0.458402,0.408142, hcp
0.100561,0.066613,0.407919,0.416448, hcp
0.081327,0.050355,0.46383,0.415836, bcc
0.108945,0.044758,0.39811,0.399775, bcc
0.071113,0.053526,0.428519,0.410098, bcc
0.079571,0.047702,0.475452,0.421431, bcc
0.05982,0.032746,0.435784,0.40831, bcc
0.121366,0.017582,0.49212,0.429018, bcc
0.10089,0.090449,0.403828,0.43362, hcp
0.104428,0.075965,0.425719,0.38369, hcp
0.072025,0.045227,0.453546,0.415284, bcc
0.10296,0.096415,0.428476,0.422766, hcp
0.046855,0.014541,0.398592,0.378442, bcc
0.073379,0.085627,0.43831,0.415943, hcp
0.087983,0.077579,0.442658,0.432776, hcp
0.106799,0.035422,0.46091,0.422996, bcc
0.099771,0.076506,0.463125,0.41565, hcp
0.14264,0.087222,0.443541,0.435334, hcp
0.104607,0.013912,0.496693,0.379813, bcc
0.087879,0.032848,0.457381,0.442294, bcc
0.080397,0.059529,0.406281,0.428226, bcc
0.16006,0.033761,0.437938,0.414031, bcc
0.098619,0.077457,0.436321,0.403418, hcp
0.077406,0.083372,0.426158,0.417476, hcp
0.132124,0.032548,0.417685,0.422347, bcc
0.122277,0.082471,0.453697,0.408189, hcp
0.112182,0.076746,0.444615,0.450143, hcp
0.1241,0.083875,0.483919,0.452703, hcp
0.117015,0.078239,0.475749,0.420241, hcp
0.104268,0.086168,0.38915,0.43409, hcp
0.064899,0.045511,0.452825,0.390975, bcc
0.124921,0.095971,0.463867,0.437205, hcp
0.116121,0.0862,0.408001,0.403885, hcp
0.096581,0.039492,0.427109,0.370067, bcc
0.135496,0.080503,0.428893,0.415025, hcp
0.09874,0.049922,0.462652,0.386479, bcc
0.10454,0.089143,0.428772,0.426727, hcp
